simulation,selected_players,jaccard,tsf_optimum,tsf_baseline_reference,delta_tsf,tsf_baseline_perturbed,regret,orbit_open
90,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551357436580099,0.4556941843506398,-0.0005584406926298913,0.4551357436580099,0.0,1
91,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45693118922834575,0.4556941843506398,0.0012370048777059495,0.45693118922834575,0.0,1
92,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45459504887817914,0.4556941843506398,-0.001099135472460655,0.45459504887817914,0.0,1
93,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45388717605984596,0.4556941843506398,-0.0018070082907938323,0.45388717605984596,0.0,1
94,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4558744476720683,0.4556941843506398,0.00018026332142850876,0.4558744476720683,0.0,1
95,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4565758211371833,0.4556941843506398,0.000881636786543516,0.4565758211371833,0.0,1
96,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4543000708969709,0.4556941843506398,-0.0013941134536689104,0.4543000708969709,0.0,1
97,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45638563805781684,0.4556941843506398,0.0006914537071770477,0.45638563805781684,0.0,1
98,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45415023783371167,0.4556941843506398,-0.0015439465169281297,0.45415023783371167,0.0,1
99,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4544310321130315,0.4556941843506398,-0.0012631522376083115,0.4544310321130315,0.0,1
100,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45513831494797874,0.4556941843506398,-0.0005558694026610578,0.45513831494797874,0.0,1
101,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45494063413476027,0.4556941843506398,-0.0007535502158795282,0.45494063413476027,0.0,1
102,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551437066219477,0.4556941843506398,-0.0005504777286921003,0.4551437066219477,0.0,1
103,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4565119794621013,0.4556941843506398,0.0008177951114615167,0.4565119794621013,0.0,1
104,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4564807791738814,0.4556941843506398,0.0007865948232416153,0.4564807791738814,0.0,1
105,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45749923535899006,0.4556941843506398,0.0018050510083502669,0.45749923535899006,0.0,1
106,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45600308505372167,0.4556941843506398,0.00030890070308187134,0.45600308505372167,0.0,1
107,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4557278048314043,0.4556941843506398,3.362048076449575e-05,0.4557278048314043,0.0,1
108,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4570237279425574,0.4556941843506398,0.0013295435919176146,0.4570237279425574,0.0,1
109,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45488128547000284,0.4556941843506398,-0.0008128988806369586,0.45488128547000284,0.0,1
110,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4544869944742975,0.4556941843506398,-0.001207189876342274,0.4544869944742975,0.0,1
111,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45579256234086296,0.4556941843506398,9.837799022316407e-05,0.45579256234086296,0.0,1
112,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4555430661127827,0.4556941843506398,-0.000151118237857073,0.4555430661127827,0.0,1
113,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45516448370786344,0.4556941843506398,-0.000529700642776354,0.45516448370786344,0.0,1
114,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4572678836175085,0.4556941843506398,0.0015736992668686778,0.4572678836175085,0.0,1
